id	name	age	country	hometown	height	arm_span	gender
5	Philipp Hrozek	40.0	GER	Kulmbach	188.0	190.0	1
7	Martin Schlageter	56.0	GER	Sinzheim	178.0	182.0	1
16	Marcel Richter	33.0	GER	Ehrwald	150.0		1
23	Sebastian Depke	36.0	GER	Kemmenau	145.0		1
27	Nicolas Perreth	37.0	GER	Munich	183.0	191.0	1
68	Dinara Fakhritdinova	29.0	RUS	Gubkinsky	152.0		-1
79	Aleksey Rubtsov	33.0	RUS	Moscow	178.0	185.0	1
87	Irina Kuzmenko	26.0	RUS	Saint-Petersburg	171.0		-1
93	Dmitrii Fakirianov	27.0	RUS	Saint-Petersburg	171.0		1
123	Sergei Sergeev	65.0	RUS	Tyumen	176.0		1
129	Elizaveta Ivanova	22.0	RUS	Ekaterinburg	172.0		-1
144	Elena Krasovskaia	21.0	RUS	Miass	169.0		-1
173	Semen OVCHINNIKOV	19.0	RUS	Krasnoyarsk	172.0		1
196	Anton Kulba	19.0	RUS	Krasnoyarsk	174.0		1
279	Iurii KOVALEV	17.0	RUS	Omsk	173.0		1
316	Chloe Caulier	25.0	BEL	Masnuy Saint Pierre	166.0		-1
318	Simon Lorenzi	25.0	BEL	Barchon	168.0	180.0	1
320	Nicolas Collin	24.0	BEL	Bruxelles	179.0		1
356	Ties Vancraeynest	19.0	BEL	Buggenhout	177.0		1
373	Hannes Van Duysen	17.0	BEL	Vinderhoute	175.0		1
462	Manon Hily	28.0	FRA	AIX EN PROVENCE	162.0		-1
466	Julia Chanourdie	25.0	FRA	AVIERNOZ	164.0		-1
467	Salomé Romain	26.0	FRA	BRIANCON	149.0		-1
469	Fanny Gibert	29.0	FRA	massy	165.0		-1
474	Guillaume Moro	27.0	FRA	GRENOBLE	171.0		1
479	Anouck Jaubert	28.0	FRA	GRENOBLE	169.0		-1
488	Aurelia Sarisson	24.0	FRA	Voiron	167.0		-1
490	Manuel Cornu	28.0	FRA	Evry	177.0		1
494	Pierre Rebreyend	25.0	FRA	St Martin d'Uriage	180.0		1
514	Nina Arthaud	21.0	FRA	ARACHES	167.0		-1
523	Mickael Mawem	31.0	FRA	AUBERVILLIERS	179.0		1
530	Nolwenn Arc	22.0	FRA	CHOLET	157.0		-1
532	Sam Avezou	21.0	FRA	IGNY	170.0		1
544	Alistair Duval	20.0	FRA	Voiron	180.0	194.0	1
547	Paul Jenft	18.0	FRA	FFME La Chapelle Blanche	186.0	194.0	1
557	Julien Gasc	39.0	FRA	Montpellier	179.0	184.0	1
561	Camille Pouget	19.0	FRA	Fonsorbes	162.0		-1
569	Capucine Viglione	19.0	FRA	Voiron	170.0		-1
584	Diego Fourbet	19.0	FRA	L'Argentière-la-Bessée	174.0		1
587	Joshua FOURTEAU	19.0	FRA	bordeaux	175.0		1
596	Benjamin Bouissou	35.0	FRA	Pantin	174.0		1
601	Saula Lerondel	17.0	FRA	SAINT-JULIEN-LES-VILLAS	168.0		-1
603	Elsa Ravinet	18.0	FRA	Toulouse	154.0		-1
611	Thibaud Desloges	17.0	FRA	Massy	180.0	187.0	1
620	Zélia Avezou	17.0	FRA	IGNY	158.0		-1
636	Shauna Coxsey	29.0	GBR	Sheffield	164.0		-1
642	Molly Thompson-Smith	24.0	GBR	London	159.0		-1
668	Aiden Dunne	22.0	GBR	Ashton-Under-Lyne	175.0	183.0	1
670	Dave Bowes	40.0	GBR	Wallasey	180.0	185.0	1
688	Maximillian Milne	21.0	GBR	Aberdeen	166.0		1
693	Emily Phillips	19.0	GBR	Cardiff	170.0		-1
694	Holly Toothill	20.0	GBR	Cowling	165.0		-1
696	Hamish McArthur	20.0	GBR	Yorkshire	181.0		1
703	Imogen Horrocks	23.0	GBR	Portsmouth	165.0	165.0	-1
714	Stephen Keir	19.0	GBR	Piperdam	183.0		1
730	Anita Aggarwal	49.0	GBR	Derby	162.0		-1
765	Philipp Martin	27.0	GER	Kaufbeuren	173.0		1
793	Mikel Asier Linacisoro Molina	21.0	ESP	Bergara	184.0	180.0	1
811	Alberto Ginés López	19.0	ESP	Sant Cugat del Vallés	178.0		1
814	Alejandro Crespo Cobos	24.0	ESP	Tornavacas	182.0	194.0	1
819	Iván Germán Pascual	49.0	ESP	madrid	179.0		1
820	Francisco Javier Aguilar Amoedo	39.0	ESP	Granada	167.0	173.0	1
854	Marcello Bombardi	28.0	ITA	Pont-Saint-Martin (AO)	177.0		1
855	Stefano Ghisolfi	29.0	ITA	Arco	169.0		1
857	Michael Piccolruaz	26.0	ITA	Santa Cristina	178.0		1
860	Claudia Ghisolfi	25.0	ITA	Torino	162.0		-1
865	Ludovico Fossali	24.0	ITA	Bieno (TN)	185.0	196.0	1
868	Alessio Cornamusini	56.0	ITA	Castelfiorentino (FI)	172.0	180.0	1
885	Stanislao Zama	26.0	ITA	Faenza	170.0		1
899	Gian Luca Zodda	22.0	ITA	Sassuolo	169.0		1
914	Giorgia Tesio	21.0	ITA	Mondovì CN	165.0		-1
921	Tiziana Paolini	50.0	ITA	VINCI	170.0		-1
928	Laura Rogora	20.0	ITA	Trento	152.0		-1
947	Camilla Moroni	20.0	ITA	Mignanego (GE)	157.0	161.0	-1
952	Alessandro Cingari	23.0	ITA	Roma	187.0	203.0	1
991	Miriam Fogu	19.0	ITA	Perugia	171.0		-1
1005	Giorgio Tomatis	19.0	ITA	Caraglio	180.0	75.0	1
1024	Beatrice Colli	17.0	ITA	Colico	171.0	178.0	-1
1032	Petra Campana	20.0	ITA	Gandino	159.0	162.0	-1
1047	Nicolò Sartirana	18.0	ITA	cantalupo di cerro maggiore	169.0	177.0	1
1058	Christopher Cosser	21.0	RSA	Johannesburg	178.0		1
1103	Erin Sterkenburg	19.0	RSA	Durban	163.0		-1
1104	Danielle Visser	18.0	RSA	Durban	174.0		-1
1113	Emily Gray	30.0	RSA	New York City	175.0	176.0	-1
1123	Gregor Selak	33.0	SLO	Skofja Loka	178.0		1
1124	Jernej Kruder	31.0	SLO	Celje	179.0	184.0	1
1129	Domen Skofic	27.0	SLO	Radovljica	177.0		1
1130	Katja Debevec	26.0	SLO	Ljubljana	173.0		-1
1131	Gregor Vezonik	26.0	SLO	RAVNE NA KOROŠKEM	176.0		1
1134	Milan Preskar	25.0	SLO	Skofja Loka	172.0		1
1135	Martin Bergant	26.0	SLO	Skofja Loka	182.0		1
1145	Matic Kotar	23.0	SLO	Ljubljana - Šentvid	172.0	188.0	1
1147	Janja Garnbret	23.0	SLO	Šmartno pri Slovenj Gradcu	164.0		-1
1153	Vita Lukan	21.0	SLO	Radovljica	164.0		-1
1155	Lana Skusek	21.0	SLO	Komenda	162.0		-1
1161	Mia Krampl	21.0	SLO	Golnik	163.0		-1
1170	Luka Potocar	20.0	SLO	Jesenice	177.0		1
1181	Lucija Tarkus	18.0	SLO	Slovenska Bistrica	160.0		-1
1186	Peter Hribar	36.0	SLO	Kamnik	182.0		1
1187	Timotej Romšak	17.0	SLO	Radomlje	180.0		1
1190	Matej Arh	28.0	SLO	Preddvor	185.0	188.0	1
1214	Jakob Schubert	31.0	AUT	Innsbruck	176.0		1
1226	Jessica Pilz	25.0	AUT	Haag	165.0		-1
1230	Alexandra Elmer	25.0	AUT	Stuhlfelden	170.0		-1
1239	Julia Fiser	24.0	AUT	Hall in Tirol	162.0		-1
1240	Franziska Sterrer	23.0	AUT	Vöcklabruck	169.0		-1
1243	Johanna Färber	24.0	AUT	Kumberg	171.0		-1
1249	Laura Stöckler	22.0	AUT	Haag	172.0		-1
1251	Mathias Posch	22.0	AUT	Imst	171.0		1
1256	Nicolai Uznik	21.0	AUT	Sankt Johann	173.0		1
1259	Eva Maria Hammelmüller	21.0	AUT	Innsbruck	167.0	180.0	-1
1266	Mattea Pötzi	21.0	AUT	Innsbruck	160.0		-1
1270	Sandra Lettner	20.0	AUT	Straßwalchen	161.0		-1
1274	Stefan Scherz	20.0	AUT	Gloggnitz	179.0		1
1278	Tobias Plangger	21.0	AUT	Thaur	182.0		1
1283	Johannes Hofherr	19.0	AUT	Frastanz	178.0		1
1324	Sandra Pollak	49.0	AUT	Maria Saal	170.0	176.0	-1
1326	Daniel Wiener	41.0	AUT	Schörfling	178.0	184.0	1
1346	Edith Scheinecker	54.0	AUT	Enns	160.0		-1
1349	Angelino Zeller	25.0	AUT	Gratkorn	177.0		1
1361	Martin Stranik	32.0	CZE	Hradec Kralove - Svobodne Dvory	178.0		1
1364	Adam Ondra	29.0	CZE	Brno - Komin	186.0		1
1372	Jan Kriz	26.0	CZE	Brno	190.0		1
1393	Petr Burian	30.0	CZE	Brno	193.0		1
1437	Marek Jeliga	18.0	CZE	Praha 5	171.0		1
1438	Michaela Smetanova	19.0	CZE	Brno	165.0		-1
1492	Kostiantyn Pavlenko	23.0	UKR	Odessa	182.0		1
1496	Roman Batsenko	27.0	UKR	Kyiv	179.0		1
1511	Yaroslav Tkach	20.0	UKR	Kremenchuk	182.0		1
1517	Tetiana Kolkotina	29.0	UKR	Ukrainka Kiev region	165.0		-1
1526	Nika Potapova	19.0	UKR	Ukrainka Kiev region	154.0		-1
1559	Sean McColl	34.0	CAN	Maple Ridge	169.0	175.0	1
1565	Alannah Yip	28.0	CAN	Vancouver	164.0		-1
1579	Allison Vest	26.0	CAN	Canmore	171.0		-1
1644	Victor Baudrand	19.0	CAN	Salt Lake City, Utah	175.0		1
1741	Sean Bailey	25.0	USA	Shoreline	163.0		1
1750	Kyra Condie	25.0	USA	Shoreview	162.0		-1
1754	John Brosler	25.0	USA	Plano	179.0		1
1778	Nathaniel Coleman	25.0	USA	Murray	182.0		1
1798	Noah Bratschi	21.0	USA	Potomac	184.0	194.0	1
1803	Natalia Grossman	20.0	USA	Boulder	162.0		-1
1811	Brooke Raboutou	20.0	USA	Boulder	158.0		-1
1812	Ashima Shiraishi	21.0	USA	New York	155.0		-1
1824	Maya Madere	23.0	USA	Austin	168.0		-1
1837	Bill Casson	33.0	USA	Denver	175.0	175.0	1
1843	Michael Finn-Henry	22.0	USA	Boston	193.0	200.0	1
1867	Gabrielle Tourtellotte	25.0	USA	Hemdon	177.0		-1
1870	Sienna Kopf	19.0	USA	Golden	174.0		-1
1871	Ross Fulkerson	21.0	USA	Portola Valley	183.0		1
1874	Megan Lynch	23.0	USA	Rockville	167.0	167.0	-1
1898	Isabel Gifford	22.0	USA	Austin	170.0		-1
1908	Merritt Ernsberger	22.0	USA	Norman	173.0		1
1925	Stefan Fellner	20.0	USA	Kings Beach	178.0		1
1926	Zach Galla	21.0	USA	Atlanta	168.0		1
1929	Colin Duffy	18.0	USA	Broomfield	170.0		1
1934	Zander Waller	18.0	USA	Decatur	182.0	193.0	1
1936	Darren Skolnik	19.0	USA	Haworth	170.0		1
1946	Timothy Kang	23.0	USA	Mountain View	180.0	182.0	1
1971	Jared Lenahan	33.0	USA	Silver Spring	175.0		1
1985	Steven Hinson	30.0	USA	Lakewood, Colorado	175.0		1
1999	Emma Hunt	19.0	USA	Woodstock	173.0		-1
2000	Callie Close	17.0	USA	Suwanee	182.0		-1
2004	Ellis Ernsberger	18.0	USA	Carrollton	170.0		1
2014	Christoph Hanke	28.0	GER	Betzenstein	167.0	167.0	1
2021	Anna Lechner	18.0	GER	München	171.0		-1
2203	Gergő Vályi	17.0	HUN	Szügy	176.0	180.0	1
2253	Akiyo Noguchi	32.0	JPN	Ryugasaki-shi	167.0		-1
2257	Rei Sugimoto	30.0	JPN	Tokyo	172.0		-1
2261	Masahiro Higuchi	29.0	JPN	Setagaya-ku, Tokyo	169.0		1
2265	Keita Watabe	28.0	JPN	Yokkaichi	173.0	180.0	1
2272	Kokoro Fujii	29.0	JPN	Tokyo	176.0		-1
2291	Tomoaki Takata	27.0	JPN	Hokuei-cho	175.0		1
2294	Miho Nonaka	24.0	JPN	Tokyo	163.0		1
2303	Shinji Mizumura	58.0	JPN	Toshima-ku Tokyo	177.0		1
2305	Yukari Nakamura	23.0	JPN	Hamamatsu	157.0		-1
2309	Yoshiyuki Ogata	24.0	JPN	Tokyo	172.0	181.0	1
2332	Kai Harada	23.0	JPN	Tokyo	169.0		1
2343	Nanako Kura	21.0	JPN	kariyash	160.0		-1
2381	Natsuki Tanii	18.0	JPN	Nara	152.0		-1
2383	Hajime Takeda	19.0	JPN	Kanagawa	172.0	180.0	1
2385	Rei Kawamata	18.0	JPN	Tochigi	172.0		-1
2436	Dimitar Rusev	18.0	BUL	Sofia	173.0	178.0	1
2486	Emma Horan	28.0	AUS	Spence, Canberra	181.0	187.0	-1
2488	Lucinda Ann Stirling	28.0	AUS	Brookfield	160.0	160.0	-1
2493	Campbell Harrison	24.0	AUS	Brunswick East	182.0	181.0	1
2530	Joshua Damasco	21.0	AUS	Lockridge	173.0	181.0	1
2573	Emil Zimmermann	17.0	GER	Freiburg	178.0		1
2574	Alexander Megos	28.0	GER	Erlangen	175.0		1
2597	Michael O'Neill	22.0	IRL	Dublin	174.0	180.0	1
2667	Hannes Puman	24.0	SWE	Skogstorp	177.0		1
2767	Peter Kuric	20.0	SVK	Handlova	175.0		1
2798	Anthony Gullsten	30.0	FIN	Helsinki	180.0		1
2808	Tomi Salo	26.0	FIN	Helsinki	176.0		1
2845	Marcin Dzienski	29.0	POL	Tarnów	166.0		1
2848	Aleksandra Miroslaw	28.0	POL	Lublin	162.0		-1
2857	Patrycja Chudziak	24.0	POL	Lublin	168.0		-1
2879	Natalia Kalucka	20.0	POL	Tarnów	165.0		-1
2894	Jakub Zietek	20.0	POL	Bielsko-Biała	175.0		1
3043	Pia Culjak	19.0	CRO	Zagreb	171.0	182.0	-1
3060	Tina Johnsen Hafsaas	27.0	NOR	OSLO	164.0	166.0	-1
3090	Oda Aagaard Lauridsen	20.0	NOR	Lillehammer	178.0		-1
3113	Hannah Meul	21.0	GER	Frechen	167.0		-1
3120	Franziska Ritter	18.0	GER	Wuppertal	164.0		-1
3125	Sebastian Halenke	27.0	GER	Lahr	177.0		1
3127	Max Kleesattel	23.0	GER	Schwäbisch Gmünd	173.0	180.0	1
3131	Yannick Flohé	22.0	GER	Essen	178.0		1
3154	Clara Viegas	20.0	BRA	Belo Horizonte, MG	170.0		-1
3199	Dylan Chuat	21.0	SUI	Vernayaz	170.0		1
3211	Carlos Granja	23.0	ECU	Ibarra	175.0	172.0	1
3214	Aaron Peñaranda	21.0	ECU	Cuenca	171.0		1
3222	Galo  Hernandez	21.0	ECU	Atuntaqui	164.0	166.0	1
